image,run,status,tag_id,conf,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,qw,qx,qy,qz,eu_px,ev_px
frame_000002.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000002.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000002.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000002.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000002.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000004.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000004.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000004.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000004.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000004.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000006.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000006.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000006.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000006.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000006.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000008.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000008.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000008.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000008.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000008.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000010.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000010.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000010.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000010.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000010.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000012.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000012.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000012.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000012.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000012.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000014.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
