t_s,frame,tag_detected,pan_deg,tilt_deg,eu_px,ev_px,eu_s_px,ev_s_px,err_px,dpan,dtilt,in_deadband
0.000,1,0,0.0,0.0,,,,,,,,
0.043,2,0,0.0,0.0,,,,,,,,
0.079,3,0,0.0,0.0,,,,,,,,
0.120,4,0,0.0,0.0,,,,,,,,
0.156,5,0,0.0,0.0,,,,,,,,
0.197,6,0,0.0,0.0,,,,,,,,
0.230,7,0,0.0,0.0,,,,,,,,
0.275,8,0,0.0,0.0,,,,,,,,
0.324,9,0,0.0,0.0,,,,,,,,
0.400,10,0,0.0,0.0,,,,,,,,
0.435,11,0,0.0,0.0,,,,,,,,
0.474,12,0,0.0,0.0,,,,,,,,
0.514,13,0,0.0,0.0,,,,,,,,
0.556,14,0,0.0,0.0,,,,,,,,
0.590,15,0,0.0,0.0,,,,,,,,
0.628,16,0,0.0,0.0,,,,,,,,
0.662,17,0,0.0,0.0,,,,,,,,
0.703,18,0,0.0,0.0,,,,,,,,
0.740,19,0,0.0,0.0,,,,,,,,
0.782,20,0,0.0,0.0,,,,,,,,
0.819,21,0,0.0,0.0,,,,,,,,
0.860,22,0,0.0,0.0,,,,,,,,
0.895,23,0,0.0,0.0,,,,,,,,
0.965,24,0,0.0,0.0,,,,,,,,
1.009,25,0,0.0,0.0,,,,,,,,
1.049,26,0,0.0,0.0,,,,,,,,
1.086,27,0,0.0,0.0,,,,,,,,
1.127,28,0,0.0,0.0,,,,,,,,
1.164,29,0,0.0,0.0,,,,,,,,
1.206,30,0,0.0,0.0,,,,,,,,
1.243,31,0,0.0,0.0,,,,,,,,
1.286,32,0,0.0,0.0,,,,,,,,
1.324,33,0,0.0,0.0,,,,,,,,
1.365,34,0,0.0,0.0,,,,,,,,
1.404,35,0,0.0,0.0,,,,,,,,
1.447,36,0,0.0,0.0,,,,,,,,
1.482,37,0,0.0,0.0,,,,,,,,
1.522,38,0,0.0,0.0,,,,,,,,
1.557,39,0,0.0,0.0,,,,,,,,
1.597,40,0,0.0,0.0,,,,,,,,
1.629,41,0,0.0,0.0,,,,,,,,
1.668,42,0,0.0,0.0,,,,,,,,
1.701,43,0,0.0,0.0,,,,,,,,
1.743,44,0,0.0,0.0,,,,,,,,
1.778,45,0,0.0,0.0,,,,,,,,
1.824,46,0,0.0,0.0,,,,,,,,
1.861,47,0,0.0,0.0,,,,,,,,
1.901,48,0,0.0,0.0,,,,,,,,
1.935,49,0,0.0,0.0,,,,,,,,
1.975,50,0,0.0,0.0,,,,,,,,
2.009,51,0,0.0,0.0,,,,,,,,
2.050,52,0,0.0,0.0,,,,,,,,
2.083,53,0,0.0,0.0,,,,,,,,
2.123,54,0,0.0,0.0,,,,,,,,
2.158,55,0,0.0,0.0,,,,,,,,
2.198,56,0,0.0,0.0,,,,,,,,
2.233,57,0,0.0,0.0,,,,,,,,
