t_s,frame,tag_detected,state,pan_deg,tilt_deg,eu_px,ev_px,eu_s_px,ev_s_px,err_px,dpan,dtilt,steer_ff,in_deadband,clamped_pan,clamped_tilt,servo_sent,tag_conf,lost_t
0.002,1,1,ibvs_active,-0.77,-0.45,-26.5,15.5,-21.2,12.4,30.7,-0.774,-0.451,0.0,0,0,0,1,30.0,
0.079,2,1,ibvs_active,-2.02,-1.18,-26.6,15.5,-25.5,14.9,30.8,-1.245,-0.725,0.0,0,0,0,1,30.7,
0.126,3,1,ibvs_active,-3.34,-1.95,-26.6,15.5,-26.4,15.4,30.8,-1.318,-0.77,0.0,0,0,0,1,30.4,
0.177,4,1,ibvs_active,-4.66,-2.72,-26.6,15.5,-26.6,15.5,30.8,-1.328,-0.775,0.0,0,0,0,1,29.9,
0.223,5,1,ibvs_active,-5.37,-3.28,-17.6,15.2,-19.4,15.2,23.2,-0.71,-0.558,0.0,0,0,0,1,29.6,
0.270,6,0,tag_lost_countdown,-5.37,-3.28,,,,,,,,,,,,,,0.0
0.311,7,0,tag_lost_countdown,-5.37,-3.28,,,,,,,,,,,,,,0.05
0.359,8,1,ibvs_active,-5.24,-3.21,20.5,-12.2,12.5,-6.7,23.8,0.131,0.071,0.0,0,0,0,1,31.5,
0.405,9,1,ibvs_active,-4.61,-2.84,21.6,-12.4,19.8,-11.3,25.0,0.635,0.362,0.0,0,0,0,1,31.0,
0.460,10,1,ibvs_active,-3.83,-2.4,21.6,-12.5,21.3,-12.3,25.0,0.776,0.448,0.0,0,0,0,1,32.5,
0.508,11,1,ibvs_active,-3.03,-1.94,21.6,-12.4,21.6,-12.4,24.9,0.802,0.46,0.0,0,0,0,1,33.2,
0.565,12,1,ibvs_active,-2.24,-1.49,21.4,-12.2,21.4,-12.2,24.6,0.786,0.448,0.0,0,0,0,1,32.2,
0.612,13,1,ibvs_active,-1.88,-1.26,14.7,-9.8,16.1,-10.3,17.7,0.365,0.234,0.0,0,0,0,1,31.8,
0.660,14,1,deadband,-1.88,-1.26,6.4,-8.7,8.3,-9.0,10.8,0.0,0.0,0.0,1,0,0,0,24.2,
0.707,15,1,deadband,-1.88,-1.26,5.7,1.1,6.3,-0.9,5.8,0.0,0.0,0.0,1,0,0,0,29.7,
0.753,16,1,deadband,-1.88,-1.26,-4.0,-0.1,-1.9,-0.3,4.0,0.0,0.0,0.0,1,0,0,0,27.9,
0.799,17,1,deadband,-1.88,-1.26,-4.1,0.8,-3.7,0.6,4.2,0.0,0.0,0.0,1,0,0,0,33.1,
0.848,18,1,deadband,-1.88,-1.26,-4.1,0.2,-4.0,0.3,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
0.894,19,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.3,
0.947,20,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.6,
0.991,21,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,32.4,
1.040,22,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.1,
1.085,23,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.6,
1.134,24,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.6,
1.183,25,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.9,
1.232,26,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.8,
1.276,27,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.2,
1.325,28,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,31.7,
1.371,29,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.7,
1.421,30,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
1.466,31,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.516,32,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,33.1,
1.566,33,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.2,
1.612,34,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.655,35,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.0,
1.705,36,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.748,37,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
1.800,38,1,deadband,-1.88,-1.26,-4.0,0.7,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,31.6,
1.845,39,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.0,
